Start	End	StartM	EndM	length	lengthM	ch	iid1	iid2	SNP_Dens
32110	36055	0.9197090268135072	1.0032839775085451	3945	0.08357495069503784	11	VLI007	Gyvakarai1_10bp_noUDG	472.0313882559346
30118	33311	0.9385539889335632	1.0178849697113037	3193	0.07933098077774048	12	VLI007	I20062	402.49092708758315
12692	17525	0.4926109910011292	0.5826939940452576	4833	0.09008300304412843	12	VLI007	I10347	536.5052048312031
19158	23002	0.623960018157959	0.7391960024833679	3844	0.11523598432540895	12	VLI007	I11538	333.57635833136345
21520	25044	0.6981599926948547	0.7856460213661194	3524	0.08748602867126465	12	VLI007	I13713	402.8071743022758
8425	10372	0.3408649861812592	0.4162720143795013	1947	0.07540702819824219	13	VLI007	VK547_noUDG.SG	258.19874440369296
13319	15792	0.670540988445282	0.7490329742431641	2473	0.07849198579788208	15	VLI007	I11154	315.0640125691314
21121	24783	0.9071630239486694	0.999750018119812	3662	0.09258699417114258	15	VLI007	I6221	395.51991430145904
27049	29055	1.0566190481185913	1.1429920196533203	2006	0.086372971534729	15	VLI007	I6221	232.24858012363552
21817	23650	0.9095110297203064	0.9841520190238952	1833	0.07464098930358888	17	VLI007	I4895	245.57552319471543
28282	30002	0.9421679973602296	1.0074089765548706	1720	0.06524097919464111	18	VLI007	I4884	263.63798048899923
5401	7266	0.4225659966468811	0.4962239861488342	1865	0.07365798950195312	19	VLI007	I4790	253.1972448081206
5425	7369	0.2764120101928711	0.3424220085144043	1944	0.0660099983215332	20	VLI007	I4887	294.5008406954989
17270	19933	0.5907739996910095	0.6853880286216736	2663	0.09461402893066406	20	VLI007	I14617	281.4593174075194
13912	15707	0.5553510189056396	0.6278650164604187	1795	0.07251399755477905	21	VLI007	I11735	247.53841472386185
2322	3791	0.20910300314426425	0.27488699555397034	1469	0.06578399240970613	22	VLI007	I14617	223.3066048729593
75735	81575	2.392988920211792	2.5421969890594482	5840	0.14920806884765625	1	VLI007	I0104	391.39974433706595
31354	34332	1.079360008239746	1.1586519479751587	2978	0.0792919397354126	1	VLI007	I6790	375.57411383013425
18038	21691	0.7401499748229979	0.827646017074585	3653	0.08749604225158691	1	VLI007	I15033	417.50459860757246
31378	35401	0.9494900107383728	1.0587079524993896	4023	0.10921794176101683	2	VLI007	I4782	368.34607346866613
41910	44451	1.2267630100250244	1.3091429471969604	2541	0.08237993717193604	2	VLI007	I4782	308.44888782770636
72154	74227	1.9954700469970703	2.05684494972229	2073	0.06137490272521973	2	VLI007	I18278	337.7602094590657
88100	90034	2.4492340087890625	2.5182700157165527	1934	0.06903600692749022	2	VLI007	I13173	280.1436650342937
30506	33167	0.924045979976654	0.9968199729919434	2661	0.0727739930152893	2	VLI007	I6797	365.6526033195598
34024	38606	1.02019202709198	1.1325199604034424	4582	0.1123279333114624	2	VLI007	I6797	407.9127840174047
41939	45297	1.1566859483718872	1.231147050857544	3358	0.07446110248565674	3	VLI007	I13467	450.97371485291177
96	1767	0.0012969999806955455	0.0656690001487732	1671	0.06437200016807765	3	VLI007	PES001_noUDG.SG	259.5849120171748
45871	50883	1.2509959936141968	1.3813420534133911	5012	0.13034605979919436	3	VLI007	I13727	384.5148835124955
40554	43211	1.1222670078277588	1.1884839534759521	2657	0.06621694564819336	3	VLI007	I0104	401.25680428035463
48636	52639	1.3255150318145752	1.4188719987869265	4003	0.09335696697235107	3	VLI007	I7209	428.78428143295855
20278	23925	0.6492099761962891	0.7098519802093506	3647	0.06064200401306152	3	VLI007	I3315_enhanced	601.3983309678358
48874	51347	1.3310600519180298	1.3925600051879885	2473	0.0614999532699585	3	VLI007	I11527	402.1141266798346
3999	6227	0.16880400478839874	0.25459399819374084	2228	0.0857899934053421	3	VLI007	I13712	259.70394816014334
22506	25092	0.7750139832496643	0.8414000272750854	2586	0.06638604402542114	4	VLI007	I12415	389.53970491294007
36164	39246	1.1181310415267944	1.1930320262908936	3082	0.07490098476409912	4	VLI007	I0104	411.47656598998907
63028	64575	1.8698179721832275	1.9308220148086548	1547	0.06100404262542725	4	VLI007	I18270	253.58975133808445
9211	11369	0.3843100070953369	0.4477480053901672	2158	0.06343799829483032	4	VLI007	I6793	340.1746678655621
58759	60982	1.7246769666671753	1.7862050533294678	2223	0.061528086662292474	4	VLI007	I11737	361.29841192711217
53543	56520	1.4966690540313718	1.5825920104980469	2977	0.0859229564666748	5	VLI007	I13467	346.47318044213586
60170	62774	1.6600190401077268	1.7459959983825684	2604	0.08597695827484131	5	VLI007	I13467	302.8718452304198
51158	53166	1.4231990575790403	1.4853049516677856	2008	0.062105894088745124	5	VLI007	I4776	323.31874928500406
7699	10457	0.2937310039997101	0.3710609972476959	2758	0.07732999324798584	6	VLI007	I6793	356.6533351626583
8969	11192	0.32589900493621826	0.3954330086708069	2223	0.06953400373458862	8	VLI007	I2163	319.6996980765258
36386	40601	1.011690974235535	1.114395022392273	4215	0.10270404815673828	8	VLI007	I6790	410.4025182695254
26186	29529	0.8466299772262573	0.9530969858169556	3343	0.10646700859069824	9	VLI007	I6797	313.9939821970418
23983	26218	0.7776830196380615	0.8470190167427063	2235	0.06933599710464478	9	VLI007	HOP001	322.3433848693118
